,Name,Cuisines,City,Rating,NumberOfReviews
119,Hong Restaurant ,Chinese,Riyadh,4.8,8
120,Nando's ,"African, Portuguese",Riyadh,4.5,20
121,Carbone Riyadh ,,Riyadh,4.8,5
122,Zalata ,"Arabic, Saudi",AlUla,4.5,11
123,Jamil's Restaurant ,,Madinah,4.8,20
124,Pairidaēza ,"Mediterranean, Middle Eastern",Riyadh,4.5,12
125,Maritime ,"Asian, French",Jeddah,4.8,11
126,Tikka Time ,Indian,Jeddah,4.5,6
127,San Marzano ,Italian,Riyadh,4.8,5
128,Balkan Cevapi ,Balkan,Riyadh,4.5,6
129,Safeen ,Seafood,Jeddah,4.8,17
130,Emmy Squared Pizza ,"American, Italian",Jeddah,4.5,24
131,Madeo Ristorante ,Italian,Jeddah,4.8,16
132,Le Vesuvio ,"Italian, Mediterranean",Jeddah,4.5,26
133,Asador de Aranda ,Spanish,Riyadh,4.8,13
134,Artist Cafe ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.5,13
135,Nour Cafe ,"Cafe, Coffee & Tea, Desserts",Jeddah,4.8,5
136,White Robata ,"Fine Dining, Seafood",Riyadh,4.5,5
137,The Red Fox ,"British, International",Jeddah,4.8,5
138,Don Ruben’s Mexican Restaurant ,Mexican,Riyadh,4.5,5
140,Gurkan Sef Steakhouse Restaurant ,Turkish,Makkah,4.5,43
141,Relish Joy of Taste Restaurant ,"American, International",Makkah,4.8,36
142,Sura Korean Restaurant ,Korean,Jeddah,4.5,35
143,Rawaq Cafe and Coffee House ,Spanish,Makkah,4.8,75
144,Cup and Dice Cafe ,International,Makkah,4.5,19
145,Obsess Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.7,20
146,Catch 22  Restaurant ,"Arabic, International",Riyadh,4.5,51
147,Coffee Leaf for Specialty Coffee ,"Cafe, Coffee & Tea, Desserts",Makkah,4.7,18
148,My Dream Coffee Shop ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,43
149,Pattis Restaurant and Cafe ,"Greek, International, Italian",Riyadh,4.7,31
150,Scampi Restaurant ,International,Makkah,4.5,14
151,Draish Saudi Restaurant ,Arabic,Dammam,4.7,29
152,Poplars Salon De The' ,International,Riyadh,4.5,14
153,Darbat Muealam Restaurant ,Lebanese,Makkah,4.7,21
154,Outback Steakhouse ,American,Jeddah,4.5,44
155,Frais & Fresh ,"Bakery, Cafe, Coffee & Tea",Jeddah,4.7,42
156,Roshan Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,25
157,Cup and Brush Cafe ,"Cafe, Coffee & Tea, Desserts",Makkah,4.7,20
158,Buntone Burgers ,American,Jeddah,4.5,35
159,Osta Sandwich ,American,Jeddah,4.7,22
160,Lyon 67 Cafe and Restaurant ,Lebanese,Jeddah,4.5,26
161,Gloria Cafe ,"Breakfast, Cafe, Coffee & Tea",Jeddah,4.7,11
162,Fresh Fish Market ,Arabic,Jeddah,4.5,35
163,Soma Sushi Bar ,Japanese,Riyadh,4.7,37
164,One Degree Café ,"Cafe, Coffee & Tea, Fine Dining",Riyadh,4.5,6
165,HW Cake & Coffee ,"Cafe, Coffee & Tea, Desserts",Makkah,4.7,25
166,Benedict ,"Cafe, Coffee & Tea, Desserts",Makkah,4.5,32
167,Aromi Restaurant ,"Italian, Vegetarian",Jeddah,4.7,24
168,All Day ,"Bakery, Breakfast, Cafe",Dammam,4.5,22
169,Raffles Creamery ,"American, International",Makkah,4.7,12
